iter	Passed	Remaining
0	17	17734
1	40	20414
2	64	21406
3	90	22488
4	114	22764
5	137	22718
6	162	23013
7	177	21961
8	188	20719
9	197	19557
10	206	18579
11	216	17856
12	227	17265
13	237	16694
14	245	16116
15	254	15659
16	263	15229
17	271	14823
18	280	14506
19	289	14206
20	311	14508
21	320	14244
22	329	14000
23	337	13721
24	346	13507
25	354	13280
26	362	13076
27	370	12876
28	379	12695
29	388	12549
30	396	12389
31	405	12257
32	413	12114
33	422	12011
34	431	11895
35	440	11784
36	449	11691
37	458	11604
38	467	11510
39	475	11417
40	483	11300
41	491	11218
42	501	11150
43	509	11065
44	518	10997
45	526	10918
46	535	10865
47	544	10798
48	553	10746
49	562	10690
50	571	10633
51	580	10583
52	589	10537
53	598	10487
54	607	10429
55	615	10378
56	625	10341
57	634	10298
58	642	10247
59	650	10198
60	659	10153
61	667	10099
62	676	10056
63	685	10020
64	694	9986
65	703	9952
66	712	9917
67	721	9890
68	730	9850
69	738	9815
70	747	9774
71	756	9745
72	764	9710
73	773	9676
74	782	9652
75	789	9598
76	800	9598
77	810	9584
78	823	9598
79	835	9610
80	850	9647
81	862	9658
82	874	9657
83	884	9641
84	898	9672
85	912	9693
86	925	9710
87	934	9679
88	943	9659
89	954	9652
90	963	9622
91	975	9632
92	988	9640
93	997	9616
94	1006	9589
95	1018	9587
96	1029	9587
97	1038	9561
98	1053	9591
99	1067	9610
100	1077	9592
101	1085	9556
102	1092	9518
103	1099	9472
104	1106	9433
105	1113	9388
106	1120	9353
107	1127	9311
108	1134	9271
109	1141	9233
110	1147	9193
111	1154	9156
112	1165	9150
113	1172	9113
114	1179	9073
115	1186	9038
116	1197	9034
117	1204	9004
118	1212	8974
119	1219	8941
120	1226	8909
121	1233	8879
122	1240	8846
123	1247	8816
124	1254	8780
125	1261	8750
126	1268	8721
127	1276	8696
128	1283	8668
129	1291	8642
130	1298	8611
131	1304	8579
132	1311	8548
133	1318	8520
134	1326	8496
135	1333	8470
136	1340	8441
137	1347	8416
138	1356	8401
139	1365	8385
140	1373	8369
141	1380	8341
142	1389	8327
143	1397	8308
144	1406	8291
145	1417	8290
146	1425	8272
147	1434	8258
148	1441	8234
149	1450	8220
150	1458	8198
151	1465	8177
152	1477	8177
153	1484	8156
154	1491	8132
155	1498	8105
156	1505	8081
157	1512	8059
158	1519	8035
159	1526	8012
160	1532	7987
161	1540	7969
162	1547	7948
163	1555	7928
164	1562	7908
165	1569	7886
166	1577	7867
167	1583	7843
168	1590	7821
169	1596	7796
170	1603	7774
171	1610	7753
172	1618	7734
173	1624	7713
174	1631	7693
175	1639	7676
176	1647	7659
177	1654	7639
178	1662	7623
179	1669	7603
180	1676	7584
181	1683	7566
182	1690	7547
183	1698	7530
184	1704	7508
185	1711	7489
186	1718	7470
187	1725	7454
188	1733	7436
189	1740	7419
190	1747	7403
191	1755	7386
192	1762	7370
193	1769	7351
194	1776	7335
195	1783	7315
196	1790	7297
197	1797	7278
198	1803	7261
199	1810	7242
200	1817	7225
201	1824	7208
202	1832	7193
203	1839	7178
204	1847	7165
205	1856	7156
206	1865	7145
207	1872	7128
208	1879	7114
209	1886	7096
210	1894	7083
211	1902	7071
212	1909	7054
213	1916	7038
214	1923	7021
215	1930	7007
216	1939	7000
217	1947	6984
218	1955	6974
219	1962	6959
220	1969	6943
221	1978	6934
222	1986	6920
223	1995	6912
224	2002	6897
225	2009	6883
226	2018	6873
227	2025	6859
228	2033	6844
229	2040	6831
230	2048	6820
231	2055	6805
232	2062	6789
233	2070	6776
234	2076	6761
235	2084	6746
236	2091	6732
237	2098	6718
238	2105	6703
239	2112	6690
240	2121	6681
241	2129	6671
242	2136	6655
243	2143	6641
244	2149	6624
245	2157	6612
246	2164	6597
247	2171	6583
248	2178	6570
249	2187	6561
250	2193	6546
251	2200	6531
252	2207	6518
253	2214	6503
254	2220	6488
255	2227	6473
256	2234	6460
257	2241	6447
258	2248	6433
259	2255	6420
260	2262	6405
261	2269	6392
262	2276	6378
263	2283	6365
264	2289	6350
265	2297	6338
266	2304	6325
267	2310	6311
268	2317	6299
269	2325	6286
270	2331	6272
271	2338	6259
272	2348	6254
273	2355	6240
274	2362	6229
275	2369	6216
276	2376	6204
277	2383	6190
278	2393	6184
279	2399	6171
280	2406	6158
281	2413	6145
282	2421	6133
283	2427	6121
284	2436	6111
285	2443	6098
286	2450	6087
287	2457	6075
288	2464	6063
289	2471	6051
290	2479	6040
291	2486	6029
292	2493	6016
293	2500	6004
294	2507	5992
295	2514	5981
296	2521	5969
297	2529	5957
298	2535	5945
299	2543	5933
300	2561	5949
301	2568	5936
302	2576	5925
303	2583	5914
304	2590	5902
305	2597	5892
306	2604	5880
307	2611	5868
308	2619	5857
309	2626	5845
310	2632	5832
311	2640	5821
312	2647	5809
313	2654	5799
314	2661	5788
315	2669	5777
316	2676	5766
317	2684	5756
318	2690	5743
319	2696	5730
320	2703	5718
321	2710	5707
322	2718	5697
323	2725	5686
324	2732	5675
325	2739	5664
326	2747	5654
327	2754	5643
328	2762	5633
329	2768	5621
330	2775	5609
331	2783	5599
332	2789	5588
333	2796	5577
334	2804	5566
335	2811	5555
336	2817	5543
337	2825	5533
338	2832	5522
339	2839	5512
340	2846	5501
341	2853	5490
342	2860	5479
343	2867	5468
344	2875	5458
345	2881	5447
346	2888	5435
347	2894	5423
348	2901	5412
349	2908	5401
350	2915	5391
351	2922	5380
352	2929	5369
353	2936	5359
354	2943	5348
355	2950	5338
356	2958	5328
357	2964	5316
358	2971	5306
359	2999	5332
360	3019	5344
361	3039	5356
362	3058	5366
363	3076	5375
364	3096	5387
365	3114	5395
366	3133	5404
367	3166	5438
368	3180	5439
369	3191	5433
370	3203	5431
371	3215	5427
372	3230	5430
373	3238	5420
374	3258	5430
375	3266	5420
376	3273	5410
377	3280	5397
378	3287	5386
379	3294	5375
380	3301	5363
381	3308	5352
382	3316	5342
383	3323	5331
384	3331	5322
385	3339	5311
386	3347	5301
387	3355	5292
388	3363	5282
389	3370	5271
390	3377	5260
391	3383	5248
392	3391	5238
393	3398	5227
394	3414	5229
395	3422	5219
396	3429	5208
397	3436	5197
398	3443	5186
399	3451	5177
400	3458	5166
401	3465	5154
402	3471	5142
403	3479	5132
404	3487	5123
405	3494	5112
406	3501	5101
407	3508	5091
408	3515	5080
409	3522	5069
410	3530	5059
411	3537	5048
412	3544	5037
413	3550	5026
414	3557	5015
415	3564	5003
416	3577	5002
417	3585	4992
418	3596	4987
419	3605	4978
420	3619	4977
421	3632	4975
422	3647	4975
423	3658	4969
424	3671	4967
425	3679	4958
426	3690	4952
427	3702	4948
428	3711	4939
429	3724	4936
430	3735	4931
431	3751	4932
432	3763	4928
433	3772	4920
434	3785	4916
435	3797	4912
436	3807	4904
437	3818	4899
438	3830	4894
439	3840	4888
440	3849	4879
441	3892	4913
442	3901	4905
443	3910	4896
444	3927	4898
445	3935	4889
446	3952	4889
447	3960	4880
448	3969	4871
449	3977	4861
450	3985	4851
451	3994	4842
452	4003	4833
453	4011	4824
454	4020	4815
455	4028	4805
456	4036	4796
457	4044	4786
458	4053	4778
459	4062	4769
460	4071	4760
461	4079	4750
462	4086	4739
463	4093	4729
464	4100	4717
465	4107	4706
466	4113	4695
467	4120	4684
468	4127	4673
469	4134	4662
470	4142	4652
471	4149	4641
472	4155	4630
473	4162	4619
474	4170	4609
475	4177	4598
476	4184	4588
477	4191	4577
478	4198	4566
479	4205	4555
480	4212	4545
481	4220	4535
482	4226	4524
483	4233	4513
484	4240	4502
485	4247	4492
486	4254	4482
487	4262	4471
488	4269	4461
489	4277	4452
490	4284	4441
491	4291	4431
492	4299	4421
493	4306	4411
494	4314	4401
495	4321	4391
496	4329	4381
497	4336	4371
498	4343	4361
499	4350	4350
500	4358	4340
501	4364	4329
502	4373	4321
503	4379	4310
504	4386	4299
505	4393	4288
506	4399	4278
507	4407	4268
508	4413	4257
509	4421	4248
510	4428	4237
511	4435	4228
512	4442	4217
513	4450	4208
514	4457	4198
515	4465	4188
516	4472	4178
517	4480	4169
518	4488	4159
519	4495	4149
520	4502	4139
521	4509	4129
522	4517	4119
523	4525	4110
524	4532	4101
525	4539	4090
526	4547	4081
527	4554	4071
528	4561	4061
529	4569	4052
530	4576	4042
531	4583	4032
532	4591	4022
533	4597	4012
534	4604	4001
535	4612	3992
536	4634	3995
537	4653	3996
538	4669	3993
539	4679	3986
540	4687	3976
541	4695	3967
542	4703	3958
543	4712	3950
544	4720	3941
545	4730	3933
546	4738	3923
547	4745	3914
548	4752	3904
549	4760	3894
550	4767	3884
551	4775	3875
552	4782	3866
553	4790	3856
554	4797	3846
555	4805	3837
556	4814	3828
557	4822	3819
558	4829	3809
559	4836	3799
560	4843	3790
561	4850	3780
562	4857	3770
563	4864	3760
564	4872	3751
565	4879	3741
566	4887	3732
567	4894	3722
568	4901	3713
569	4908	3703
570	4915	3693
571	4922	3683
572	4930	3674
573	4937	3664
574	4944	3654
575	4950	3644
576	4958	3634
577	4965	3625
578	4972	3615
579	4979	3606
580	4986	3596
581	4994	3586
582	5001	3577
583	5008	3567
584	5015	3557
585	5022	3548
586	5033	3541
587	5040	3531
588	5047	3521
589	5054	3512
590	5061	3502
591	5069	3493
592	5076	3484
593	5083	3474
594	5091	3465
595	5098	3456
596	5105	3446
597	5112	3437
598	5120	3428
599	5127	3418
600	5134	3408
601	5142	3399
602	5150	3390
603	5157	3381
604	5164	3372
605	5171	3362
606	5178	3353
607	5186	3343
608	5193	3334
609	5200	3324
610	5208	3315
611	5214	3306
612	5222	3297
613	5229	3287
614	5236	3278
615	5243	3268
616	5250	3259
617	5257	3249
618	5264	3240
619	5271	3230
620	5279	3222
621	5287	3213
622	5294	3203
623	5301	3194
624	5307	3184
625	5315	3175
626	5322	3166
627	5329	3157
628	5336	3147
629	5344	3138
630	5352	3130
631	5359	3120
632	5366	3111
633	5373	3102
634	5380	3092
635	5387	3083
636	5394	3074
637	5401	3064
638	5409	3055
639	5416	3046
640	5424	3037
641	5431	3028
642	5438	3019
643	5446	3010
644	5453	3001
645	5461	2992
646	5469	2984
647	5476	2974
648	5484	2965
649	5491	2956
650	5498	2947
651	5505	2938
652	5512	2929
653	5519	2920
654	5526	2910
655	5534	2901
656	5552	2898
657	5559	2889
658	5566	2880
659	5573	2871
660	5580	2862
661	5587	2852
662	5594	2843
663	5602	2834
664	5610	2826
665	5617	2817
666	5625	2808
667	5632	2799
668	5640	2790
669	5647	2781
670	5654	2772
671	5661	2763
672	5669	2754
673	5676	2745
674	5683	2736
675	5690	2727
676	5697	2718
677	5705	2709
678	5713	2700
679	5720	2692
680	5727	2683
681	5734	2673
682	5741	2664
683	5748	2655
684	5755	2646
685	5762	2637
686	5769	2628
687	5776	2619
688	5783	2610
689	5790	2601
690	5797	2592
691	5804	2583
692	5812	2574
693	5819	2565
694	5826	2556
695	5832	2547
696	5839	2538
697	5847	2529
698	5854	2521
699	5862	2512
700	5868	2503
701	5875	2494
702	5882	2485
703	5889	2476
704	5896	2467
705	5904	2458
706	5911	2449
707	5918	2440
708	5924	2431
709	5931	2422
710	5938	2414
711	5946	2405
712	5953	2396
713	5960	2387
714	5967	2378
715	5974	2369
716	5981	2360
717	5988	2351
718	5995	2343
719	6002	2334
720	6009	2325
721	6017	2316
722	6024	2307
723	6031	2299
724	6038	2290
725	6045	2281
726	6052	2272
727	6059	2264
728	6066	2255
729	6074	2246
730	6081	2237
731	6088	2229
732	6096	2220
733	6104	2212
734	6110	2203
735	6118	2194
736	6125	2186
737	6133	2177
738	6140	2168
739	6147	2160
740	6154	2151
741	6161	2142
742	6168	2133
743	6175	2124
744	6183	2116
745	6190	2107
746	6199	2099
747	6206	2090
748	6213	2082
749	6220	2073
750	6227	2064
751	6234	2055
752	6241	2047
753	6248	2038
754	6256	2030
755	6263	2021
756	6270	2012
757	6278	2004
758	6286	1996
759	6293	1987
760	6300	1978
761	6313	1972
762	6321	1963
763	6329	1955
764	6336	1946
765	6342	1937
766	6350	1929
767	6357	1920
768	6365	1912
769	6375	1904
770	6383	1896
771	6399	1890
772	6410	1882
773	6421	1874
774	6433	1867
775	6447	1861
776	6462	1854
777	6475	1847
778	6488	1840
779	6499	1833
780	6512	1826
781	6524	1818
782	6537	1811
783	6547	1803
784	6559	1796
785	6573	1789
786	6588	1783
787	6602	1776
788	6615	1769
789	6624	1760
790	6636	1753
791	6645	1745
792	6653	1736
793	6661	1728
794	6668	1719
795	6676	1710
796	6683	1702
797	6690	1693
798	6697	1684
799	6705	1676
800	6712	1667
801	6720	1659
802	6727	1650
803	6733	1641
804	6740	1632
805	6747	1624
806	6754	1615
807	6760	1606
808	6768	1597
809	6776	1589
810	6783	1580
811	6790	1572
812	6797	1563
813	6805	1554
814	6812	1546
815	6819	1537
816	6826	1529
817	6834	1520
818	6876	1519
819	6911	1517
820	6919	1508
821	6927	1500
822	6945	1493
823	6952	1485
824	6960	1476
825	6967	1467
826	6975	1459
827	6983	1450
828	6993	1442
829	7001	1433
830	7008	1425
831	7016	1416
832	7023	1408
833	7030	1399
834	7038	1390
835	7045	1382
836	7053	1373
837	7060	1364
838	7067	1356
839	7074	1347
840	7082	1338
841	7102	1332
842	7122	1326
843	7141	1320
844	7160	1313
845	7178	1306
846	7199	1300
847	7217	1293
848	7237	1287
849	7252	1279
850	7264	1271
851	7277	1264
852	7287	1255
853	7295	1247
854	7303	1238
855	7312	1230
856	7320	1221
857	7328	1212
858	7336	1204
859	7343	1195
860	7350	1186
861	7357	1177
862	7364	1169
863	7371	1160
864	7378	1151
865	7385	1142
866	7392	1134
867	7399	1125
868	7407	1116
869	7413	1107
870	7421	1099
871	7428	1090
872	7435	1081
873	7442	1072
874	7449	1064
875	7455	1055
876	7463	1046
877	7470	1038
878	7478	1029
879	7484	1020
880	7491	1011
881	7498	1003
882	7505	994
883	7512	985
884	7519	977
885	7528	968
886	7535	959
887	7542	951
888	7549	942
889	7557	934
890	7564	925
891	7571	916
892	7578	908
893	7585	899
894	7592	890
895	7600	882
896	7607	873
897	7614	864
898	7621	856
899	7628	847
900	7635	839
901	7643	830
902	7650	821
903	7657	813
904	7664	804
905	7671	795
906	7680	787
907	7687	778
908	7695	770
909	7702	761
910	7710	753
911	7717	744
912	7724	736
913	7731	727
914	7739	718
915	7746	710
916	7753	701
917	7760	693
918	7767	684
919	7774	676
920	7781	667
921	7788	658
922	7794	650
923	7801	641
924	7808	633
925	7815	624
926	7823	616
927	7830	607
928	7837	598
929	7844	590
930	7850	581
931	7858	573
932	7865	564
933	7878	556
934	7885	548
935	7892	539
936	7899	531
937	7906	522
938	7913	514
939	7919	505
940	7927	497
941	7934	488
942	7941	480
943	7948	471
944	7955	463
945	7962	454
946	7970	446
947	7984	437
948	7991	429
949	7998	420
950	8006	412
951	8013	404
952	8021	395
953	8028	387
954	8035	378
955	8042	370
956	8048	361
957	8055	353
958	8065	344
959	8072	336
960	8079	327
961	8086	319
962	8095	311
963	8103	302
964	8109	294
965	8117	285
966	8124	277
967	8131	268
968	8138	260
969	8145	251
970	8152	243
971	8160	235
972	8167	226
973	8175	218
974	8181	209
975	8188	201
976	8196	192
977	8203	184
978	8211	176
979	8218	167
980	8224	159
981	8231	150
982	8237	142
983	8244	134
984	8251	125
985	8259	117
986	8266	108
987	8274	100
988	8281	92
989	8289	83
990	8296	75
991	8303	66
992	8310	58
993	8317	50
994	8324	41
995	8331	33
996	8338	25
997	8345	16
998	8352	8
999	8359	0
